,title,category,text
0,菅首相 来年1月にも訪米検討,国内, 菅義偉首相は3日の米大統領選の当選者と会談するため来年1月にも訪米する検討を始めた日本政府は共和党のトランプ大統領民主党のバイデン前副大統領のいずれが当選しても早期の訪問は難しいとみている新型コロナウイルス感染拡大で郵便投票が広く導入されたことなどで結果確定の遅れが予想されるためで日米両政府は選挙後に具体的な日程調整に入る方針だ トランプ氏が初当選した4年前は安倍晋三首相当時が選挙直後の11月に訪米外国首脳で初めて会談しその後の日米関係強化につながったただ今回は米国内で感染拡大が続いているほか投票結果を巡る混乱や法廷闘争が続く可能性もあるとされリスクを回避するため年内訪米は見送る構えだ 次期大統領の就任は来年1月20日で1月には通常国会召集も控えている米国側の意向や国会日程の影響で2月以降になる可能性もある新型コロナの影響で今年に予定していた米国での主要7カ国首脳会議G7サミットが延期されておりこうした外交日程も勘案して調整する見通しだ 訪米が実現すれば9月の首相就任後初菅氏の訪米は官房長官時代の2019年5月以来となるトランプ氏が再選した場合は首脳間の新たな関係構築が急務となるバイデン氏の当選時はオバマ前政権時代の人脈を生かして緊密な日米関係を目指すことになりそうだ加藤明子
1,燕14年ドラフト 6年で姿消す,スポーツ,2日にヤクルトは2014年ドラフト2位の風張ら7選手に戦力外通告 ヤクルトは2日近藤一樹投手山田大樹投手田川賢吾投手風張蓮投手平井諒投手山中浩史投手育成選手のジュリアス投手の計7選手に来季の契約を結ばないことを伝えたと発表した風張は2014年ドラフト2巡目で東農大北海道オホーツクから入団した右腕これでヤクルトの2014年ドラフト指名選手はわずか6年で全員が戦力外通告を受けることとなった 風張は大学日本代表に選出されるなど活躍し入団したが2015年のイースタンの初登板1軍デビュー登板でも危険球退場を経験それでも2018年にリリーフで2勝を挙げていたこの年の1巡目の竹下真吾投手らをはじめ風張以外の支配下6選手育成1選手の同期入団はすでに戦力外通告を受けていたため2014年組が姿を消すことになる この年のドラフトは早大有原航平投手現日本ハムに4球団が入札済美安楽智大投手に楽天とヤクルトが重複した楽天が交渉権を獲得しヤクルトは竹下を指名した有原を外したDeNAと阪神は山崎康晃投手を指名し交渉権はDeNAが獲得阪神は横山雄哉投手をその後指名広島は野間峻祥外野手の交渉権を獲得した巨人は4番に成長した岡本和真内野手を単独ロッテも中村奨吾内野手を1巡目で指名し今ではチームの中心となっている その他西武3巡目で外崎修汰内野手ロッテ3巡目で岩下大輝投手ソフトバンク2巡目で栗原陵矢捕手らが指名され今はチームに欠かせぬ存在になっているまたオリックスは1巡目山崎福也投手2巡目宗佑磨内野手3巡目佐野皓大外野手そして7巡目西野真弘内野手8巡目小田裕也外野手9巡目に今季プロ初勝利した鈴木優投手と1軍出場している選手が多く存在しているというのが2014年ドラフトの特徴だFullCount編集部
2,北海道また最多更新 街の声は,地域,UHB 北海道文化放送 感染拡大の猛威がとまりません北海道内では新たに1日の過去最多となる96人が新型コロナウイルスに感染していることが確認されました 札幌市保健所 山口 亮 感染症担当部長本日は新たに札幌市内で83人の陽性者が確認されました一昨日が54人昨日が59人とそして本日が83人と3日続けて最多を更新した 新たな感染者は札幌市83人旭川市1人小樽市1人千歳市4人恵庭市2人苫小牧市1人そのほか石狩地方1人胆振地方3人のあわせて96人です 10月31日の81人を上回り過去最多となりました 過去最多の83人が確認された札幌市ではこれまでの若い世代の感染に加え40代以上の中高年の感染も増えていると警鐘を鳴らしました 一方札幌市内のライラック交通ではタクシー運転手の男性1人の感染が確認されました 北海道と札幌市は運転手との濃厚接触の可能性のある7つの運転経路を公表しました北海道と札幌市は利用者の相談を呼びかけています 一方北海道によりますと千歳市の陸上自衛隊東千歳駐屯地で20代から50代の隊員6人が感染する新たな集団感染が発生しました また集団感染となっている苫小牧工業高校では生徒1人の感染が確認されこれで12人となりました 感染拡大の猛威に街の人の反応は 札幌市民Qきょう札幌で80人超ええどうしたらいいんだろう 札幌市民家にいるのが一番だろうけど子どもも動きたい年頃なので公園とかには連れて行かないといけないし 札幌市民うがい手洗いマスクしたりこれ以上のことできない出勤時間をずらしたりとか緊急的な学校の登校時間を制限したりとかすべき 札幌市民早くコロナをやっつけるものが出てくればいい薬とかね 10月28日に警戒ステージが2に引き上げられ集中対策期間の中感染拡大に歯止めがかかりません
3,GoTo食事券 県知事「改善を」,地域, 新型コロナウイルスの感染拡大を受けて飲食業界を支援する国のGo To イートで兵庫県内で使えるプレミアム付き食事券の人気が過熱し入手が困難なことについて井戸敏三知事は2日の定例会見で事業を請け負う日本旅行に文書で改善を要請したと明らかにした 食事券は都道府県ごとに農林水産省から受託した事業者がそれぞれの方法で販売している兵庫分は第1期の約7万冊2期の約13万冊がいずれも即日完売にウェブサイトはつながりにくく不慣れな人向けの応募はがき付きチラシも枚数が限られるため不満の声が上がっている 井戸知事自身も2期目にウェブ申し込みを試みたが全然つながらなかったというさらにチラシもすぐなくなってしまう何らかの改善をしながら対処していただきたいと述べた森 信弘
4,SMBC コンビニATM手数料改定,経済, 三井住友銀行は2日来年4月5日からコンビニの現金自動預払機ATMの手数料を改定すると発表した毎月2526日の日中の手数料は現在の110円を無料にするほか早朝や夜間も220円から110円に引き下げる一方でそれ以外の日は値上げする現金を使わない習慣の広がりで利用が減っている現状に合わせ料金体系を見直す 毎月2526日は給与の支払いなどで自行のATMの利用がピークになる料金を引き下げることでコンビニでの利用を促し混雑を緩和する狙いもある それ以外の平日の日中は110円から220円に値上げする休日や夜間は330円に上がる
5,Zeebra 中林美和と離婚,エンタメ, 今年8月写真週刊誌FLASHで不倫が報じられていたヒップホップアーティストのZeebra49が妻でモデルの中林美和41と離婚したことを2日自身のツイッターで報告した中林もインスタグラムで報告し娘たちの親権は中林が持つことを明かしている ツイッターでZeebraは関係者の皆様ファンの皆様へとして長年連れ添った妻と協議の結果離婚致しました今まで夫婦として応援して頂いた皆様にはとても心苦しいご報告となりますが今後もご指導ご鞭撻のほどどうかよろしくお願い致しますと伝えた 中林も離婚を報告するとともに娘たちの親権は私が持つことになり同時に戸籍も私の戸籍に移ることになりましたこれからも今までと変わらずに沢山の愛情を子供たちに注いで参りたいと思っておりますどうか暖かく見守って頂けますと幸いですと呼びかけている 8月Zeebraは女性との不倫旅行が写真週刊誌FLASHで報じられこの度は自分の軽率な行動により関係者の方々やファンの皆さまにご迷惑ご心配をお掛けしてしまった事心からお詫び申し上げますとツイッターで謝罪そして何よりも自分の不甲斐ない行いにより大切な家族を傷つけてしまった事を深く反省しております今後は家族ひとりひとりに対し真摯に向き合い二度と悲しませる事の無い様努めて参りますとつづっていた Zeebraは1991年に結婚した前妻との間に男児2人が誕生するも離婚02年に結婚した中林美和との間には女児2人が誕生し次女のリマはNiziUメンバーとして活動している
6,北川景子 出産後初の公の場,エンタメ, 女優の北川景子34が2日都内で行われた映画ドクターデスの遺産BLACK FILE13日公開完成報告イベントに登壇9月7日に第1子女児の出産を発表して以来初の公の場となり笑顔で登場した MCからご出産おめでとうございますと祝福を受けると北川はありがとうございますと満面の笑み綾野剛からもおめでとうと拍手をもらい会場も温かい雰囲気に包まれた そして公開を前にいろんなことがあった年ですが登壇できて公開できるのがうれしいです感謝の気持ちでいっぱいですと口にしていた 北川と夫のDAIGO42は2016年1月に結婚今年4月に妊娠を発表した北川は出産後先日無事に第一子となる女児を出産いたしましたおかげさまで母子ともに健康です元気に生まれてきてくれたことに幸せを感じていますとつづり出産まで支えてくださった方々に感謝の気持ちでいっぱいですありがとうございましたとブロブで報告していた 中山七里氏のクライムサスペンス小説が原作の同映画物語は終末期の患者ばかりを襲う連続不審死事件が発生し犬養隼人綾野と高千穂明日香北川が捜査に乗り出すすると依頼を受けて患者を安楽死させるドクターデスと呼ばれる医者にたどり着くと犬養の一人娘沙耶香が安楽死の依頼をしてしまうドクターデスの目的と正体を追う2人の刑事の挑戦が描かれる
7,秋元氏支援者 証人買収認める,国内, カジノを含む統合型リゾート施設IR事業の汚職を巡り衆院議員秋元司被告49収賄罪組織犯罪処罰法違反罪で起訴と共謀し贈賄側に裁判での虚偽証言を求め報酬の提供を持ち掛けたとして同法違反証人等買収罪に問われた支援者の無職淡路明人被告54と会社役員佐藤文彦被告50は2日東京地裁の初公判で起訴内容を認めた 検察側は秋元議員が贈賄側について絶対金で転ぶと言って両被告に買収を迫ったとし事件の首謀者だと指摘両被告にはそれぞれ懲役1年2月を求刑し弁護側が執行猶予付き判決を求めて即日結審した判決は12月15日
8,国交省 塗装業者など格付けへ,経済, 国土交通省は2021年度から内装や塗装電気水道などを専門に行う中小零細を中心とした工事業者を対象に格付け制度を導入する国交省のホームページHPで公表し利用者が工事を依頼する際の判断材料にしてもらうほか悪質業者を排除する狙いがある 格付けするのは建設技能者の人数や施工実績などの施工能力建設業の許可年数や財務状況などの基礎情報処分歴や社会保険加入状況などのコンプライアンスの3項目項目ごとに星印14個で評価する 国交省が作る指針などに基づき希望した業者について内装や塗装などの各業界団体が格付けを行い順次公表していく国交省は将来公共工事の発注で格付けを活用することも検討している 現場で作業する19年平均の建設技能労働者数は324万人と過去20年間で25減った高齢化も進んでおり55歳以上が35程度を占める一方29歳以下の若手は約1割にとどまっている 現場の専門職が不足すると計画通りに進まない工事が増える恐れがある国交省は格付け制度の導入で業者の信頼度を高め若い世代が就職先として選びやすくすることも目指している
9,巨人 藤岡ら14選手に戦力外,スポーツ,藤岡田原の他村上と加藤にも契約しない旨を通告 巨人は2日藤岡貴裕投手田原誠次投手村上海斗外野手加藤脩平外野手の4選手に来季の契約を結ばないことを通知したと発表した 藤岡は2011年のドラフト1位でロッテに入団2018年からトレードで日本ハムへ移籍し2019年途中にトレードで巨人へと加入した今季は12試合に登板して0勝0敗0セーブ防御率312だった2011年のドラフト7位で入団した田原は2012年に貴重なサイドスローでリーグV日本一に貢献2016年に自己最多の64試合に登板したが今季はここまで1軍登板がなかった また育成選手でも高山竜太朗捕手高井俊投手笠井駿外野手Rラモス投手巽大介投手橋本篤郎投手山上信吾内野手荒井颯太外野手比嘉賢伸内野手折下光輝内野手にも来季の契約を結ばない旨を通告支配下育成合わせて14選手への戦力外通告となったFullCount編集部
10,携帯乗り換え 4月から無料に,国内, 総務省は2日携帯電話会社を変更する際に電話番号をそのまま移行する番号継続制度MNPについて手数料を原則無料とする指針改正案を発表した 意見公募を経て年内に改正来年4月1日から適用する携帯会社を乗り換えやすくし料金引き下げへ競争を促す 指針改正案はこれまでの有識者会議の議論を反映した現在NTTドコモKDDIauソフトバンクの大手3社や格安スマートフォン会社はMNP手数料として3000円を徴収指針はオンラインでの手続きを無料とする一方店舗では人件費などを考慮して1000円までの徴収を認めるMNP手数料をめぐってはソフトバンクが窓口も含め来春から撤廃すると発表ドコモとKDDIは窓口をどうするか今後検討する 
11,松井氏 大阪維新の代表辞任へ,地域, 大阪都構想が住民投票で否決されたことを受け2023年に政界引退を表明した大阪市長の松井一郎氏は大阪維新の会の代表も近く辞任する意向であることがMBSの取材で明らかになりました 松井氏は大阪都構想の住民投票で敗北した責任をとり今の大阪市長の任期が満了する2023年で政界引退を表明しています維新幹部によりますと松井氏は地域政党大阪維新の会の代表についても次の党の全体会議で辞任を表明するということです 後任は代表代行を務める大阪府の吉村洋文知事が有力視されています同じく代表を務める国政政党の日本維新の会については次の衆議院選挙まで代表を続けその後辞任する意向だということですMBSニュース
12,准教授刺傷 元学生に懲役7年,国内, 名古屋市の名城大で1月履修する授業を担当していた男性准教授をはさみで刺したとして殺人未遂罪などに問われた元学生野原康佑被告22の裁判員裁判の判決が2日名古屋地裁であった山田耕司裁判長は懲役7年求刑懲役10年を言い渡した 判決によると野原被告は1月10日大学の研究室で殺意を持って准教授の首などをはさみで複数回突き刺し全治約2か月の重傷を負わせた 公判では殺意の有無が争点となったが山田裁判長は野原被告が大量に出血している准教授を刺し続けたことから死んでも構わないと考えたとして殺人未遂罪の成立を認定また生命を奪う危険性が相当に高かった短絡的に犯行に及び強い非難に値すると指摘した
