title,category,text
医師会「第3波と考えていい」,国内,FNNプライムオンライン各地で新型コロナウイルスの感染者が増加していることを受けて日本医師会の中川会長が11日午後第3波と考えていいのではないかとの見解を示した日本医師会中川俊男会長第3波と考えてもいいのではないかまた中川会長は200人台の感染者が確認された北海道の現状が憂慮されるとしたうえで北海道をGoToトラベルの対象から外すことについて急速な拡大の兆候が見られたならば柔軟に見直しを考えてもらいたいなどと述べた
大阪で256人感染 過去最多,地域,大阪府の吉村知事は11日新たに256人の新型コロナウイルス感染が確認されたと発表しました1日に確認された感染者数としては過去最多です検査数は過去最多の3278件で陽性率は78だったということです関西テレビ
ホンダ自動運転レベル3発売へ,経済, 本田技研工業は11月11日自動運転レベル3に求められる国土交通省の型式指定を取得した自動運行装置Traffic Jam Pilotトラフィックジャムパイロットを搭載したレジェンドを2020年度内に発売予定であると発表した 自動運行装置のトラフィックジャムパイロットにより高速道路渋滞時など一定の条件下でシステムがドライバーに代わって運転操作を行なうことが可能になるという 国土交通省では自動運転レベル3の市場化に向けて道路運送車両法の一部を改正し2020年4月1日より改正法令和元年法律第14号を施行改正法では自動運転レベル3の実用化に必要な自動運行装置が保安基準昭和26年運輸省令67号の対象装置として新たに加えられた国土交通省によると自動運転車レベル3の型式指定は世界初としている 自動運行装置の保安基準については以下の通りとなる1性能走行環境条件内において乗車人員および他の交通の安全を妨げるおそれがないこと走行環境条件外で作動しないこと走行環境条件を外れる前に運転操作引継ぎの警報を発し運転者に引き継がれるまでの安全運行を継続するとともに引き継がれない場合は安全に停止すること運転者の状況監視のためのドライバーモニタリングを搭載すること不正アクセス防止などのためのサイバーセキュリティ確保の方策を講じることなど2作動状態記録装置自動運行装置のONOFFの時刻引継ぎ警報を開始した時刻運転者が対応可能でない状態となった時刻などを6か月間にわたりまたは2500回分記録できること3外向け表示自動運転車であることを示すステッカーを車体後部に貼付Car Watch編集部椿山和雄
不妊治療 毎回40万円助成案,国内, 公明党の不妊治療支援に関するプロジェクトチームPTは11日会合を開き治療に対し初回30万円2回目以降15万円となっている現在の助成金額を引き上げ毎回40万円とする案を示したとりまとめは座長の伊佐進一衆院議員に一任とした近く政府に申し入れる政府は2020年度第3次補正予算案への計上も含め対応を検討する 受精卵を培養し凍結させた凍結胚の移植に対する7万5千円の給付についても10万円に増やすよう求めた支援対象となる夫婦の合計所得を730万円未満としている所得制限は撤廃を主張した
ヤクルト一筋の上田ら 戦力外,スポーツ, ヤクルトは11日上田剛史外野手藤井亮太内野手田代将太郎外野手に来季の契約を結ばないことを通達したと発表した ヤクルト一筋14年の上田は主に代走や守備固めでチームを支え通算797試合に出場今季は53試合で打率125ながら5盗塁をマークしていた 藤井は巧打を売りに17年には97試合に出場だがチャンスを生かせず出場機会が減り今季は10試合の出場に終わった 田代は西武から18年にヤクルト入り今季は46試合に出場し打率149と結果を残せなかった ヤクルトは2日に近藤一樹投手ら7選手に戦力外通告この時は投手のみだったが前夜に今季最終戦を行ったことから“第2弾”の通告となった
近藤真彦に不倫旅行報道,エンタメ, 今年デビュー40周年を迎えた歌手の近藤真彦561980年代男性アイドルのトップを走り続け87年には愚か者でレコード大賞を受賞近年はレーシングチーム監督としても実績を上げているジャニーズ事務所最年長タレントとして後輩たちからマッチさんと尊敬を集める立場だ私生活では1994年に一般女性と結婚一児の父親でもある そんな近藤が5年間にわたり31歳の女性A子さんと不倫関係にあることが週刊文春の取材でわかった 10月下旬近藤とA子さんの姿は沖縄県最大級のリゾート地のゴルフ場にあった一緒にプレーを楽しむのは東証一部上場企業社長と別の大企業会長そして20代の女性2人らの一行ホールアウト後近藤はA子さんに即席レッスンを施しA子さんが見事カップインさせると大仰におどけてみせた クラブハウスを後にした一行は送迎車で広大な敷地内を移動高台に位置し人目を憚るには最適なホテルに到着すると2人は最上階の部屋へと消えていった 近藤とA子さんをよく知る人物が明かすA子さんはオーダースーツの会社を経営する若き社長です 2人は5年前に会食で出会い一目惚れした近藤が猛アタック当時A子さんと同棲していた男性から彼女を奪ったのだという 11月7日近藤にA子さんとの関係を訊ねると無理無理無理無理と連呼して足早に去った改めてジャニーズ事務所に事実確認を行ったが回答はなかった最近ジャニーズ事務所はスキャンダルや不祥事に厳罰で臨み若手タレントは厳しい処分を受けているだけに”長男”に対してどう対処するのか注目される 近藤とA子さんの5年にわたる不倫交際近藤がA子さんに語ったかつての恋人中森明菜近藤がトリを飾った2015年紅白歌合戦の直前A子さんに送ったメッセージ近藤の不倫をカモフラージュする大物経済人は何者なのか近年のコンプラ重視を強めるジャニーズ事務所と近藤の関係そして週刊文春の取材に対するA子さんの言葉詳細はグラビア頁と併せ11月12日木発売の週刊文春で計7頁にわたり報じている週刊文春編集部週刊文春 2020年11月19日号
香港民主派議員4人の資格剥奪,国際,12 北京共同新華社電によると中国の全国人民代表大会全人代国会常務委員会会議は11日香港立法会議会の議員資格として中国や香港政府への忠誠心を求めることを決定した香港独立を宣伝したり外国勢力に香港への介入を求めたりすれば議員資格を失うと明示した決定を受け香港政府は即日香港民主派議員4人の資格を剥奪した 香港への統制を強める習近平指導部は中国に批判的な香港の民主派議員を忠誠心に欠けると見なして排除を進めるとみられる香港に高度の自治を約束した一国二制度の形骸化が一段と鮮明になった
女川再稼働 宮城県知事が同意,地域, 東北電力女川原子力発電所2号機の再稼働について村井嘉浩宮城県知事は11日須田善明女川町長亀山紘石巻市長と最終協議し再稼働に同意すると正式に表明しました東日本大震災で被災した原発の再稼働に地元が同意するのは全国で初めてです 女川原発2号機は今年2月原子力規制委員会の審査に合格し梶山経済産業大臣が村井知事に再稼働への地元同意を要請立地自治体の女川町議会と石巻市議会それに宮城県議会がいずれも再稼働に賛成する陳情や請願を採択し9日に開かれた県内35市町村長による会議では再稼働に反対する意見も出ましたが最終的には知事と立地2市町長の判断に委ねることが決まりました  これを受け村井知事は石巻市内で11日午後3時過ぎから須田女川町長亀山石巻市長と最終協議し女川原発2号機再稼働への同意を正式に表明しました 東日本大震災で被災した原発の再稼働に地元が同意するのは全国で初めてで東京電力福島第1原発と同じ沸騰水型原子炉としても全国で初めての地元同意となります村井知事は早ければ今週にも梶山経済産業大臣に再稼働への同意を伝える見通しです 東北電力では女川原発2号機の安全対策工事が完了する2022年度以降の再稼働を目指しています
兵庫・尼崎銃撃 50代の男出頭,国内, 兵庫県尼崎市の路上で特定抗争指定暴力団神戸山口組系組長64ら2人が銃撃され男2人が逃走した事件で11日午前兵庫県警に50代の男が出頭し事件への関与をほのめかしていることが捜査関係者への取材で分かった県警尼崎南署捜査本部は殺人未遂容疑でこの男を逮捕する方針 この事件を巡っては既に殺人未遂容疑で特定抗争指定暴力団山口組系組員の男52が逮捕されていた県警は同日出頭した男が事件現場から逃げたもう1人の男とみて調べる 事件は今月3日昼尼崎市稲葉元町2の路上で発生神戸山口組系組長と配下の組員61が男2人組に脚や手を撃たれて重傷を負った 県警はこれまでに神戸市長田区の新湊川で銃撃に使われたとみられる拳銃1丁を押収分裂した山口組と神戸山口組の抗争事件の疑いがあるとみて調べる
北海道 新たに197人感染,地域,北海道では11日新型コロナウイルスに新たに197人感染したことがわかった内訳は札幌市発表が138人北海道発表が47人旭川市発表が6人小樽市発表が5人函館市発表が1人北海道全体の最近の感染者数推移は5日119人6日115人7日187人8日153人9日200人10日166人
